index,title,pricing
205,Braised Chicken Thighs with Squash and Mustard Greens,3
207,Sweet-Cream Coffee Butter,2
208,Slow-Cooked Chicken Stew with Kale,4
210,"Quick Pork Ramen with Carrots, Zucchini, and Bok Choy",3
211,"Skillet Phyllo Pie with Butternut Squash, Kale, and Goat Cheese",2
212,Cold Roast Salmon with Smashed Green Bean Salad,5
213,"Sheet-Pan Cumin Chicken Thighs with Squash, Fennel, and Grapes",3
214,Butternut Squash and Creamed-Spinach Gratin,2
215,Thai Red Curry with Butternut Squash and Chickpeas,1
216,"""Nextover"" Chicken Tacos with Quick Refried Beans",3
217,Honey-Garlic Noodles,2
219,Yogurt-Braised Chicken Legs with Garlic and Ginger,3
221,"Grain Bowl with Spiced Squash, Mushrooms, and Curried Yogurt",2
222,"Summer Corn, Tomato, and Salmon Salad with Za'atar Dressing",1
223,Chicken Soup with Charred Cabbage,1
224,White Bean Salad with Lemon and Cumin,1
225,Broiled Salmon with Scallions and Sesame,5
226,Fall Squash and Leek Bread Pudding,2
227,Curried Yellow Split Pea Soup with Spiced Coconut,1
229,Bucatini with Lemony Carbonara,2
230,Spiced Pavlova with Pumpkin Mousse,2
231,Brûléed Bourbon-Maple Pumpkin Pie,2
232,Big-Batch Roasted Kale,1
233,"Butternut Squash, Kale, and Crunchy Pepitas Taco",3
234,Make-Ahead Sheet-Pan Meatballs,4
235,Honeynut Squash with Radicchio and Miso,2
236,Winter Squash Soup with Gruyère Croutons,1
238,Easy General Tso's Chicken,4
239,Easy Chicken Tortilla Soup with Bean and Cheese Nachos,1
241,Mediterranean Eggplant and Barley Salad,1
243,Chopped Salad,1
244,Beef and Potato Pasties,3
245,Vietnamese Chicken Soup With Rice,2
246,Herbed Chickpeas,1
247,Mango and Cucumber Chow,1
248,"Dandelion Salad with Pomegranate Seeds, Pine Nuts, and Roasted Delicata Squash",1
250,Winter Squash Agrodolce,2
251,Cold Soba Noodles with Miso and Smoked Tofu,2
253,Cheesy Kale and Mushroom Strata,2
254,Cheesy Delicata Squash and Kale Casserole,3
255,Butternut Squash and Chorizo Hash,3
256,Sake-Steamed Chicken and Kabocha Squash,3
257,One-Pot Pasta Primavera with Shrimp,5
258,10-Minute Shrimp with Green Beans and Creamy Lemon-Dill Dip,5
259,Herb-Crusted Cauliflower Steaks with Beans and Tomatoes,3
260,Coconut Rice Noodles with Ginger and Turmeric,2
261,"Butternut Squash, Coconut, and Ginger Muffins",2
264,Butternut Squash Tart with Fried Sage,2
265,Spanish Frittata with Herby Yogurt and Greens,1
266,"Smoky Pumpkin, Spelt, Pomegranate, and Feta Salad",1
267,One-Skillet Roasted Butternut Squash with Spiced Chickpeas,1
268,Roasted Garlic Herb Sauce,1
269,Pasta Salad with Spring Vegetables and Tomatoes,1
270,Herby Chicken Kofta Meatballs,4
271,Grilled Cheese Tacos,2
272,Salmon Burgers with Red Pepper Mayo,3
275,Fiorentini with Butternut Squash,2
276,Pumpkin Whoopie Pies,2
277,Lentil and Chicken Soup with Sweet Potatoes and Escarole,3
278,Baked Pasta alla Norma,3
280,Turmeric-Ginger Chicken Soup,1
282,Pork Chops with Celery and Almond Salad,3
283,"Orecchiette with Buttermilk, Peas, and Pistachios",2
284,Our Favorite Spaghetti and Meatballs,3
285,10-Minute Chicken Flatbreads with Hummus and Yogurt,3
286,Sausage and Greens Sheet-Pan Dinner,3
288,Twice-Roasted Squash with Parmesan Butter and Grains,2
289,"Kale Salad with Butternut Squash, Pomegranate, and Pumpkin Seeds",1
290,Kabocha Squash Pilaf with Coconut,2
291,Chile-Marinated Pork with Vietnamese Brussels Sprouts,3
292,White Chicken Chili,4
293,One-Pot Curried Cauliflower with Couscous and Chickpeas,1
295,Hummus Dinner Bowls with Spiced Ground Beef and Tomatoes,3
296,Autumn Kale Salad,1
297,Pumpkin Icebox Pie With Snickerdoodle Crust,2
